# SDSS (AB)                                                       
#  filters spectra  num Av  num Rv version
#        5     902      13       1       2
# lgTef  logg  Fe_H a_Fe   Av   Rv               SDSS_u               SDSS_g               SDSS_r               SDSS_i               SDSS_z
3.23667  8.50  0.00  0.0 0.00 3.10              -3.8239               0.1568               1.4692              -0.2058               0.0518
3.23667  9.00  0.00  0.0 0.00 3.10              -3.4596               0.1254               1.4068              -0.0498               0.2084
3.23667  9.50  0.00  0.0 0.00 3.10              -2.9828               0.9040               1.9404               0.1649               0.4033
3.25493 -1.00  0.00  0.0 0.00 3.10             -12.7480              -7.6707              -4.5024              -2.7192              -1.4270
3.25493 -0.50  0.00  0.0 0.00 3.10             -12.7480              -7.6707              -4.5024              -2.7192              -1.4270
3.25493  0.00  0.00  0.0 0.00 3.10             -12.7480              -7.6707              -4.5024              -2.7192              -1.4270
3.25493  0.50  0.00  0.0 0.00 3.10             -12.7480              -7.6707              -4.5024              -2.7192              -1.4270
3.25493  1.00  0.00  0.0 0.00 3.10             -12.7480              -7.6707              -4.5024              -2.7192              -1.4270
3.25493  1.50  0.00  0.0 0.00 3.10             -12.7480              -7.6707              -4.5024              -2.7192              -1.4270
3.25493  2.00  0.00  0.0 0.00 3.10             -12.7480              -7.6707              -4.5024              -2.7192              -1.4270
3.25493  2.50  0.00  0.0 0.00 3.10             -12.7480              -7.6707              -4.5024              -2.7192              -1.4270
3.25493  3.00  0.00  0.0 0.00 3.10             -12.7480              -7.6707              -4.5024              -2.7192              -1.4270
3.25493  3.50  0.00  0.0 0.00 3.10             -12.7480              -7.6707              -4.5024              -2.7192              -1.4270
3.25493  4.00  0.00  0.0 0.00 3.10             -12.7480              -7.6707              -4.5024              -2.7192              -1.4270
3.25493  4.50  0.00  0.0 0.00 3.10             -12.7480              -7.6707              -4.5024              -2.7192              -1.4270
3.25493  5.00  0.00  0.0 0.00 3.10             -12.7480              -7.6707              -4.5024              -2.7192              -1.4270
3.25493  5.50  0.00  0.0 0.00 3.10             -12.7480              -7.6707              -4.5024              -2.7192              -1.4270
3.25493  6.00  0.00  0.0 0.00 3.10             -12.7480              -7.6707              -4.5024              -2.7192              -1.4270
3.25493  6.50  0.00  0.0 0.00 3.10              -5.2363              -0.7337               1.1607               0.0376               0.2523
3.25493  7.00  0.00  0.0 0.00 3.10              -4.8346              -0.4621               1.2761              -0.0756               0.1287
