 ID    x    y  bsize          mjd    zpt  fluxADU  flux_err  X2norm  Npix  Nmask         Jyas2    Jyas2_err     SB   SB_err                                                                fitsfile   skip  imID filter CONVOL00 PHOTNORM  KSUM00  FSIG00  FSCAT00  FWHM  M5SIGMA  SKYADU   muJyas2  muJyas2_err  im_expnum  g_ixs_flag      peak_loc good_image      new_mjd  new_muJyas2  new_muJyas2_err
 11 2062 2275      3 56488.982674 30.494     8.25      5.31    0.96     9      9  2.608000e-07 1.679000e-07    NaN      NaN     ec0915.130715.219198_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x0000    31      g TEMPLATE        t  1.2281   1.339    0.103 4.401   23.184  1684.0  0.260800       0.1679     219198        True  60607.661585       True 56166.424769     0.886563         0.313074
 11 2062 2275      3 56489.007577 30.494    -4.88      5.57    0.49     9      9 -1.542000e-07 1.759000e-07    NaN      NaN     ec0915.130716.219210_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x0000    35      g TEMPLATE        t  1.2033   1.326    0.089 4.635   23.072  1738.0 -0.154200       0.1759     219210        True  60607.661585       True 56166.449672     0.112735         0.327991
 13 2050 2286      3 56487.982626 30.494     4.89      4.21    2.30     9      9  1.547000e-07 1.330000e-07    NaN      NaN     ec0915.130714.218754_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x0000    27      g TEMPLATE        t  1.2301   1.350    0.103 4.732   23.268  1307.0  0.154700       0.1330     218754        True  60591.049535       True 56174.064665     0.746394         0.254121
 13 2050 2286      3 56488.982674 30.494     5.49      5.20    0.94     9      9  1.736000e-07 1.644000e-07    NaN      NaN     ec0915.130715.219198_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x0000    31      g TEMPLATE        t  1.2281   1.339    0.103 4.401   23.184  1684.0  0.173600       0.1644     219198        True  60591.049535       True 56175.064713     0.782505         0.314116
 13 2050 2286      3 56489.007577 30.494    -8.66      5.23    1.04     9      9 -2.737000e-07 1.652000e-07    NaN      NaN     ec0915.130716.219210_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x0000    35      g TEMPLATE        t  1.2033   1.326    0.089 4.635   23.072  1738.0 -0.273700       0.1652     219210        True  60591.049535       True 56175.089616    -0.072143         0.315645
 12 2073 2271      3 56487.982626 30.494     4.89      5.03    1.73     9      9  1.547000e-07 1.590000e-07    NaN      NaN     ec0915.130714.218754_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x0000    27      g TEMPLATE        t  1.2301   1.350    0.103 4.732   23.268  1307.0  0.154700       0.1590     218754        True  60567.597228       True 56182.704609     0.281725         0.210244
 12 2073 2271      3 56488.982674 30.494    -7.99      5.17    1.51     9      9 -2.524000e-07 1.634000e-07    NaN      NaN     ec0915.130715.219198_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x0000    31      g TEMPLATE        t  1.2281   1.339    0.103 4.401   23.184  1684.0 -0.252400       0.1634     219198        True  60567.597228       True 56183.704657    -0.256578         0.216062
 12 2073 2271      3 56489.007577 30.494     2.19      5.53    0.95     9      9  6.913000e-08 1.748000e-07    NaN      NaN     ec0915.130716.219210_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x0000    35      g TEMPLATE        t  1.2033   1.326    0.089 4.635   23.072  1738.0  0.069130       0.1748     219210        True  60567.597228       True 56183.729560     0.168577         0.231136
  4 2094 2304      3 56418.971400 30.494    19.89      4.15    0.57     9      7  6.287000e-07 1.313000e-07 24.404 0.226703  ec0915.130506.204626_ooi_g_v1_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x0000    23      g TEMPLATE        t  1.2265   1.068    0.105 5.309   23.266  1125.0  0.628700       0.1313     204626        True  60480.628259       True 56185.692915     1.247497         0.215602
  0 2069 2290      3 56418.971400 30.494    10.96      4.51    0.66     9      9  3.465000e-07 1.427000e-07    NaN      NaN  ec0915.130506.204626_ooi_g_v1_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x0000    23      g TEMPLATE        t  1.2265   1.068    0.105 5.309   23.266  1125.0  0.346500       0.1427     204626        True  60473.788003       True 56189.532890     0.599746         0.213160
