Teff,ln_sigma_mgb,ln_sigma_caii
6640.112568170702,-0.22513299315369736,-0.2714533271776128
6622.909610750096,-0.2300130572273613,-0.2613937618337228
5440.65516709145,-0.3326598446905599,-0.29218427845579725
5409.976449840716,-0.30382036725219896,-0.34534319363045024
5411.244505500301,-0.35335139253451436,-0.33839172117975963
5447.526006987137,-0.32661980226885845,-0.2719931895320757
5449.553546711902,-0.3564874728707307,-0.3118441131346057
6609.752742676945,-0.23597422661760778,-0.2438271482205271
5431.63108239598,-0.3205735300397782,-0.2955606537038647
6619.558351188138,-0.22356220049207323,-0.25506920694232454
5419.869351968823,-0.34075673579225907,-0.3645251473636178
5460.195898552034,-0.3393889606361165,-0.3333483531755059
5409.380557107898,-0.3120924932344356,-0.29189049781276843
5408.680466903855,-0.31901509645110787,-0.35529661579697763
