mjd,mJyas2,mJyas2_err,phase,4model_flag
56421.9714,2.290415889377666,6.629637176706447,-1008.0285999999978,True
56421.9714,10.229066986983348,1.1477433707400595,-1008.0285999999978,True
56425.9714,9.848700252131575,0.9580204808600183,-1004.0285999999978,True
56426.9714,9.837200448250467,0.7516936690700285,-1003.0285999999978,True
56427.9714,8.747510452632108,0.31682056531648317,-1002.0285999999978,True
56428.9714,8.4590272507322,0.4756244396148443,-1001.0285999999978,True
56429.9714,9.712184790429882,0.5526148386974884,-1000.0285999999978,True
56430.9714,10.146691591198719,0.5404428942148138,-999.0285999999978,True
56431.9714,8.370453337964285,0.45280665593965835,-998.0285999999978,True
56432.9714,8.521364311471512,0.420929117420042,-997.0285999999978,True
56433.9714,8.30094427692873,0.4469464367539363,-996.0285999999978,True
56434.9714,8.724808045146295,0.4353424086512595,-995.0285999999978,True
56435.9714,7.830226369901003,0.44540854060055884,-994.0285999999978,True
56436.9714,9.01076001475394,0.36746661344969245,-993.0285999999978,True
56437.9714,8.97238246547805,0.3074290630166585,-992.0285999999978,True
56438.9714,9.320832968992551,0.32537240572852705,-991.0285999999978,True
56439.9714,8.745830759049793,0.36885836973959996,-990.0285999999978,True
56440.9714,8.185407634984168,0.25914186254470106,-989.0285999999978,True
56441.9714,9.00121492854229,0.22040004850459394,-988.0285999999978,True
56442.9714,8.622694969352471,0.20768626916459623,-987.0285999999978,True
56443.9714,8.377375996823996,0.4203793824425379,-986.0285999999978,True
56444.9714,8.09765754280303,0.23993740063609875,-985.0285999999978,True
56445.9714,8.909662224245087,0.3432382388474815,-984.0285999999978,True
56446.9714,11.536374576870928,0.9587477648837205,-983.0285999999978,True
56448.9714,3.7984214686693716,0.34072897156854326,-981.0285999999978,True
56449.9714,4.010594813057422,0.2717083790495003,-980.0285999999978,True
56450.9714,4.7566818694743445,0.17183099838582402,-979.0285999999978,True
56451.9714,4.525213821961202,0.1754977519292265,-978.0285999999978,True
56452.9714,4.13226101130134,0.1202109061804429,-977.0285999999978,True
56453.9714,4.470694441922386,0.252595155658166,-976.0285999999978,True
56454.9714,4.303810254332135,0.11789133350238036,-975.0285999999978,True
56455.9714,4.6309350247520875,0.1388063134110079,-974.0285999999978,True
56456.9714,4.782785026915733,0.13877563017316596,-973.0285999999978,True
56457.9714,4.21940852762232,0.27509596825778365,-972.0285999999978,True
56458.9714,4.449409094214151,0.11500416731283955,-971.0285999999978,True
56459.9714,4.679802453267819,0.1309025492495613,-970.0285999999978,True
56460.9714,4.485870310010812,0.11288110890885185,-969.0285999999978,True
56461.9714,4.458968375854923,0.1252163448056381,-968.0285999999978,True
56469.9714,4.400212542409623,0.1596574565988604,-960.0285999999978,True
56470.9714,4.271057175908769,0.15681710937799717,-959.0285999999978,True
56471.9714,4.346966276689029,0.13366761145726502,-958.0285999999978,True
56472.9714,4.123595390943481,0.16700734536910203,-957.0285999999978,True
56473.9714,4.356695969911905,0.23981334266258852,-956.0285999999978,True
56474.9714,4.250266100696894,0.26454244297529894,-955.0285999999978,True
56475.9714,4.590477461468047,0.3000797536368385,-954.0285999999978,True
56476.9714,4.390009787030463,0.21244134769322245,-953.0285999999978,True
56477.9714,4.4234953770797745,0.24091757913972994,-952.0285999999978,True
56478.9714,4.158763170601858,0.27190828296319847,-951.0285999999978,True
56479.9714,4.067547733498194,0.23363570290224175,-950.0285999999978,True
56480.9714,4.457902493167961,0.1446508078589631,-949.0285999999978,True
56481.9714,4.405342801665483,0.2098944239164057,-948.0285999999978,True
56482.9714,4.457154173898368,0.18968106730408063,-947.0285999999978,True
56483.9714,4.152628928082975,0.27186881069726404,-946.0285999999978,True
56484.9714,4.472971291814442,0.28220811043847716,-945.0285999999978,True
56485.9714,3.953874730573003,0.28541008902118514,-944.0285999999978,True
56487.982626,7.890444438217144,0.5176806160886245,-942.0173740000027,True
56488.982626,7.440357034894585,0.7672539035309939,-941.0173740000027,True
56488.982674,9.15248608491812,0.5139338323774885,-941.017326000001,True
56489.007577,7.949456281667536,0.5217396317756885,-940.9924230000033,True
56489.982626,3.761118959768867,1.7191982577815659,-940.0173740000027,True
56489.982674,7.655322481287259,0.7965237522585679,-940.017326000001,True
56490.007577,7.653882980530164,0.8253137674004437,-939.9924230000033,True
56490.982626,8.144664881785213,1.1782559756881594,-939.0173740000027,True
56490.982674,6.510480693960938,1.9439817356386826,-939.017326000001,True
56491.007577,10.85930677310616,2.021921735498688,-938.9924230000033,True
56491.982626,9.843889097232637,0.7143609428100174,-938.0173740000027,True
56491.982674,9.398185283012017,1.391061835839008,-938.017326000001,True
56492.007577,6.447851096876527,1.4215744407871085,-937.9924230000033,True
56492.982626,8.295424596008008,0.38188121506600525,-937.0173740000027,True
56492.982674,9.704039717887255,0.7388101350032662,-937.017326000001,True
56493.007577,8.277362673796109,0.765037450265115,-936.9924230000033,True
56493.982626,8.343665670865354,0.6415731985601463,-936.0173740000027,True
56493.982674,8.168446723008394,0.3861453973682311,-936.017326000001,True
56494.007577,9.048526570384455,0.4088877029801027,-935.9924230000033,True
56494.982626,10.00029909745448,1.0338199035214701,-935.0173740000027,True
56494.982674,10.50591269021984,0.6839294873971269,-935.017326000001,True
