wavelength_A,flux_pickles,sptype,teff_K
3730.0,1.5931000962865483e-09,G0I,5508.08
3735.0,1.5581020917920796e-09,G0I,5508.08
3740.0,1.5915184725656673e-09,G0I,5508.08
3745.0,1.5129650865475242e-09,G0I,5508.08
3750.0,1.516984537985877e-09,G0I,5508.08
3755.0,1.6096776134233437e-09,G0I,5508.08
3760.0,1.6067247532447482e-09,G0I,5508.08
3765.0,1.646856317982781e-09,G0I,5508.08
3770.0,1.7433379184694786e-09,G0I,5508.08
3775.0,1.9199781764456247e-09,G0I,5508.08
3780.0,2.0438426506785845e-09,G0I,5508.08
3785.0,1.944208571913464e-09,G0I,5508.08
3790.0,1.7507152394458103e-09,G0I,5508.08
3795.0,1.6992774964919022e-09,G0I,5508.08
3800.0,1.8465003970291605e-09,G0I,5508.08
3805.0,2.0164778735676236e-09,G0I,5508.08
3810.0,2.04164951611574e-09,G0I,5508.08
3815.0,1.9169634768445576e-09,G0I,5508.08
3820.0,1.7391110773701257e-09,G0I,5508.08
3825.0,1.5291825583574337e-09,G0I,5508.08
3830.0,1.3983091351477128e-09,G0I,5508.08
3835.0,1.3863680203840545e-09,G0I,5508.08
3840.0,1.5170106282269558e-09,G0I,5508.08
3845.0,1.6627486054687779e-09,G0I,5508.08
3850.0,1.7381647232639352e-09,G0I,5508.08
3855.0,1.7660350959403104e-09,G0I,5508.08
3860.0,1.8023211811879492e-09,G0I,5508.08
3865.0,1.8576554738913842e-09,G0I,5508.08
3870.0,1.844254970961856e-09,G0I,5508.08
3875.0,1.8128804013528566e-09,G0I,5508.08
3880.0,1.7325144652247104e-09,G0I,5508.08
3885.0,1.6584766893146252e-09,G0I,5508.08
3890.0,1.6726470208894284e-09,G0I,5508.08
3895.0,1.7793294615486843e-09,G0I,5508.08
3900.0,1.883371902877684e-09,G0I,5508.08
3905.0,1.929417292600988e-09,G0I,5508.08
3910.0,1.9218768798623387e-09,G0I,5508.08
3915.0,1.7977281885350749e-09,G0I,5508.08
3920.0,1.5559559196631767e-09,G0I,5508.08
3925.0,1.1883153350211728e-09,G0I,5508.08
3930.0,8.552953345564163e-10,G0I,5508.08
3935.0,8.574403409511433e-10,G0I,5508.08
3940.0,1.1609865291362098e-09,G0I,5508.08
3945.0,1.4757201016735166e-09,G0I,5508.08
3950.0,1.6676690028916141e-09,G0I,5508.08
3955.0,1.6793578749840776e-09,G0I,5508.08
3960.0,1.4156964489586699e-09,G0I,5508.08
3965.0,1.0176107734238826e-09,G0I,5508.08
3970.0,9.742406881230181e-10,G0I,5508.08
3975.0,1.4309972096171464e-09,G0I,5508.08
3980.0,1.955134498743405e-09,G0I,5508.08
3985.0,2.2391639653562834e-09,G0I,5508.08
3990.0,2.311918878561414e-09,G0I,5508.08
3995.0,2.3147375127763326e-09,G0I,5508.08
4000.0,2.3658119907565833e-09,G0I,5508.08
4005.0,2.4650630425782083e-09,G0I,5508.08
4010.0,2.6263409225180112e-09,G0I,5508.08
4015.0,2.7594626583749005e-09,G0I,5508.08
4020.0,2.7676674285714853e-09,G0I,5508.08
