Teff,ebv,ln_sigma_caii,v_MarIMACS200,v_AprIMACS300,v_AprWFCCD,ln_cal_blue_MarIMACS200,ln_cal_blue_AprIMACS300,ln_cal_blue_AprWFCCD,ln_cal_nir_MarIMACS200,ln_cal_nir_AprIMACS300,ln_cal_nir_AprWFCCD
5394.482734508189,0.9081129704703433,-0.6007224896173127,-335.5647747024901,-308.89729793193345,-344.244475811762,0.1839594193348082,0.2865367457307468,0.5292000409181994,0.6474260191158052,0.9987119369044228,0.7189610288791941
5393.88819255792,0.8695221390917711,-0.6005794276510489,-337.41004909649314,-308.3639610506497,-348.1195687152196,-0.28306775821069213,0.37933164383306195,0.36191037611087284,0.6428240318347155,0.9569090848429018,0.6844687074347412
5402.213003423451,0.9202483087951593,-0.6283434770143749,-336.6883026791081,-309.5030210324962,-349.25721893262636,-0.021716450592981162,-0.018170917956557536,0.3238961047685488,0.7059708587172687,1.0231818320915633,0.7341944652264175
5392.150483143882,0.8964923065565796,-0.6070377263683433,-333.98369686382966,-303.16127299864144,-345.29316814912465,-0.4013411374409082,0.23303160199147682,0.2550593286176295,0.684959669680313,0.9885861394156986,0.7178735900070627
5393.688570196384,0.8913983862328647,-0.5924952873933025,-333.1412657436766,-308.28034876664094,-349.1242396877769,0.2237914149408041,0.2234019360889513,0.2444118452301805,0.689007470648539,0.9858873653817121,0.7185366252201493
5400.470352468156,0.896730997458211,-0.5918577780818646,-336.248923058068,-303.77738276599325,-345.33104292200744,0.24006082127131878,0.02367536202459631,0.5287926927233285,0.6630023729247696,1.0015747717730463,0.7205073549682658
5389.902234579207,0.8993153063345177,-0.6177188284670176,-328.17822848679594,-308.4993734045004,-346.0023444543497,0.23152894511755795,0.30552143399540554,0.12697782227327797,0.6726340583454736,1.0114306309793184,0.701702312876789
5401.297518373719,0.9137498257553504,-0.5991300681252373,-337.2510554054626,-308.9509935683038,-346.13544783800637,-0.12303289668788431,0.14316655099593686,0.22483329631399196,0.6893560804056803,0.9983805005195945,0.7791997911758267
5404.359106855408,0.9049513278368857,-0.5998932966243694,-336.7696996907477,-309.5857709883583,-348.4381787106631,-0.22595145470579803,-0.009916873010372085,0.37789129559708784,0.6651162226124754,0.9965543479513458,0.7289849585234139
5395.3198489807755,0.9103778976944142,-0.61006932517961,-332.83545639646763,-304.09114783823895,-349.2710786487668,0.6952553755517568,-0.13447397332138622,0.42111763673255587,0.6845535742072253,1.0028222391625623,0.7231837693955863
5390.3170431897015,0.8678333970763552,-0.6414178661473998,-336.29835040675664,-309.12598763036107,-346.6683712542168,-0.8667160248664652,0.13785803565919433,0.3821543649048608,0.6367736518520866,0.952424061602754,0.7249817403463891
5390.128777204682,0.8871345365611016,-0.6075550966383894,-337.90012049209406,-303.2225792210769,-349.9851641141353,0.0825064744061779,0.06969787605084221,0.4121653249000754,0.6433135853168166,0.9708511877274513,0.7285600498943328
5399.370518019593,0.8987743543761635,-0.6047682798607583,-337.3197732975324,-307.543055568057,-349.23588345994,-0.16461969736025206,0.14551428833614613,0.4636707870645644,0.6722155522767139,0.9870939899995583,0.7242338330412953
5404.5719085868395,0.8764560133152018,-0.6048240554926836,-337.3126868761084,-308.5279533139153,-348.61396659395035,0.26886043703310025,0.27340317022575805,0.2880211996186651,0.6413803225990276,0.9851774620829375,0.6672357182589702
5392.8935261566585,0.9006473528027872,-0.6014955918780887,-336.99145314142777,-307.6732134445122,-349.9568137639516,0.16830207200985586,0.0639550753394032,0.30851981090719743,0.7083953917457022,0.983360913223466,0.7223941779156695
5400.240108975556,0.8859092810341589,-0.6143693760557515,-337.51601212431046,-307.6298310475508,-347.89026053236756,-0.3006849654011373,0.13881640572966011,0.6229976179483632,0.6392718440430212,0.9642164803406715,0.7065918023456973
5400.249790600281,0.8735995496325389,-0.6243173608678175,-333.64960370936734,-309.35797558514724,-348.6235621186721,-0.1189458252835508,0.09504717181165279,0.4195230374743628,0.6234924804919951,0.9639897598936414,0.677481378417804
5390.381326926917,0.9105234583497109,-0.6057283226548312,-337.2346521205874,-305.169218554109,-345.24000842549003,-0.1372562744584115,-0.06342167564410225,0.5894263298136349,0.6971802055792307,1.0114190598784745,0.7516673448795019
5392.516021245447,0.8718874863363383,-0.6376023000357599,-337.3956267495782,-303.7089924744066,-349.84076700759346,-0.10847225527395649,0.01828361503231872,0.23730155287172,0.6249970996039081,0.9701132619825658,0.6868230305810246
5391.137558042501,0.8827817550530264,-0.6419665479025632,-336.2906849109077,-307.5667150301524,-346.0808598572162,0.23484501485828538,0.24048218437615126,0.09186048594146567,0.6710565359799906,0.9731838504857144,0.7014009191193941
5390.839412371462,0.8946306105043907,-0.6141706316145631,-337.75067691262376,-308.5213389680157,-348.0278166376471,0.19404785556973608,-0.14797679292832738,0.4767300771329661,0.6470312855125582,0.9905577498483643,0.774254003934393
5398.339379254919,0.8915205084630772,-0.6095704121719011,-336.8089704682584,-307.07589668615987,-346.53753097175934,0.08340801480954087,-0.010415544273240887,0.07198491925236794,0.6485990706828993,0.9873142853334305,0.7041507781534323
5390.4698199805935,0.9148021055939082,-0.6345329869499894,-335.0616437723912,-309.6162942819697,-348.41446340851274,0.18905465593177112,-0.014644398323825851,0.49855858060032643,0.662706699230825,1.0206174524662557,0.7588480585442623
5396.440784167023,0.8806101192816105,-0.581943923809281,-337.34306870441407,-309.3411275221755,-346.695256358439,0.08964269413726314,-0.0941922793842695,0.25979545056706005,0.635370019403587,0.9997826445373208,0.6843409826196776
5400.394934658916,0.8816598821778874,-0.5952900563092896,-335.02146154529396,-309.50291603015444,-349.2354688498277,0.051646652223248546,-0.12448822121583508,0.3386391334137965,0.6567306283843497,0.9778924482697159,0.7001618379286185
5390.884113473836,0.8652157978582883,-0.6533056514466875,-336.49798470553503,-306.5135980228969,-348.1247248527846,-0.3791118625530878,0.13812951853130725,0.23950439638554927,0.6612799509650891,0.9568836779594827,0.6486101128343482
