wavelength_A,flux,flux_err
4.51952000e+03,5.44930017e-03,
4.52143000e+03,-1.12350006e-03,
4.52334000e+03,4.29189987e-02,
4.52525000e+03,3.74779999e-02,
4.52716000e+03,1.49160000e-02,
4.52907000e+03,-5.52150002e-03,
4.53098000e+03,-4.26169997e-03,
4.53289000e+03,2.52779992e-03,
4.53480000e+03,1.10120000e-02,
4.53671000e+03,1.92740001e-02,
4.53862000e+03,1.28530003e-02,
4.54053000e+03,1.57149993e-02,
4.54244000e+03,1.80370007e-02,
4.54435000e+03,1.74809992e-02,
4.54626000e+03,1.77250002e-02,
4.54817000e+03,-4.41709999e-03,
4.55008000e+03,3.22059989e-02,
4.55199000e+03,4.52280007e-02,
4.55390000e+03,1.41179999e-02,
4.55581000e+03,2.07080003e-02,
4.55772000e+03,4.42869999e-02,
4.55963000e+03,2.04649996e-02,
4.56154000e+03,7.06540002e-03,
4.56345000e+03,3.50660011e-02,
4.56536000e+03,4.70849983e-02,
4.56727000e+03,2.39509996e-02,
4.56918000e+03,1.99820008e-03,
4.57109000e+03,1.41009996e-02,
4.57300000e+03,-1.40930004e-02,
4.57491000e+03,1.89309998e-03,
4.57682000e+03,2.26879995e-02,
4.57873000e+03,8.79800040e-03,
4.58064000e+03,-1.13200000e-03,
4.58255000e+03,-4.56620008e-03,
4.58446000e+03,1.94559991e-02,
4.58637000e+03,5.59570007e-02,
4.58828000e+03,4.06869985e-02,
4.59019000e+03,3.15449983e-02,
4.59210000e+03,2.20330004e-02,
4.59401000e+03,2.27929995e-04,
4.59592000e+03,1.08439997e-02,
4.59783000e+03,2.16840003e-02,
4.59974000e+03,9.34179965e-03,
4.60165000e+03,1.28589999e-02,
4.60356000e+03,9.87250009e-04,
4.60547000e+03,1.31310001e-02,
4.60738000e+03,3.16109993e-02,
4.60929000e+03,1.68580003e-02,
4.61120000e+03,1.10660000e-02,
4.61311000e+03,3.56720015e-02,
4.61502000e+03,1.45960003e-02,
4.61693000e+03,4.71770018e-03,
4.61884000e+03,1.17290001e-02,
4.62075000e+03,3.01370006e-02,
4.62266000e+03,3.26219983e-02,
4.62457000e+03,3.74290012e-02,
4.62648000e+03,4.84559983e-02,
4.62839000e+03,4.35380004e-02,
4.63030000e+03,1.75669994e-02,
4.63221000e+03,2.42829993e-02,
4.63412000e+03,5.80260009e-02,
4.63603000e+03,4.87929992e-02,
4.63794000e+03,2.74490006e-02,
4.63985000e+03,2.00369991e-02,
4.64176000e+03,7.87740014e-03,
4.64367000e+03,1.91430002e-02,
4.64558000e+03,3.12910005e-02,
4.64749000e+03,2.22650003e-02,
4.64940000e+03,2.84199994e-02,
4.65131000e+03,3.24949995e-02,
4.65322000e+03,6.18599989e-02,
4.65513000e+03,5.99699989e-02,
4.65704000e+03,4.25020009e-02,
4.65895000e+03,1.37240002e-02,
4.66086000e+03,1.67100001e-02,
4.66277000e+03,5.21599986e-02,
4.66468000e+03,3.26099992e-02,
4.66659000e+03,3.32579985e-02,
4.66850000e+03,2.79740002e-02,
4.67041000e+03,2.17690002e-02,
4.67232000e+03,3.34919989e-02,
4.67423000e+03,3.80810015e-02,
4.67614000e+03,5.17029986e-02,
4.67805000e+03,3.41770016e-02,
4.67996000e+03,2.09919997e-02,
4.68187000e+03,4.10449989e-02,
4.68378000e+03,2.96870004e-02,
4.68569000e+03,5.19150011e-02,
4.68760000e+03,4.43289988e-02,
4.68951000e+03,4.76600006e-02,
4.69142000e+03,4.52280007e-02,
4.69333000e+03,4.11969982e-02,
4.69524000e+03,3.00229993e-02,
4.69715000e+03,4.17979993e-02,
4.69906000e+03,3.39250006e-02,
4.70097000e+03,8.34839977e-03,
4.70288000e+03,1.02239996e-02,
4.70479000e+03,3.06819994e-02,
4.70670000e+03,4.23500016e-02,
4.70861000e+03,5.62039986e-02,
