wavelength_A,flux,flux_err
4.68800000e+03,2.84301546e-17,
4.69000000e+03,3.00993389e-17,
4.69200000e+03,3.16687388e-17,
4.69400000e+03,2.10857387e-17,
4.69600000e+03,2.66270696e-17,
4.69800000e+03,2.69627462e-17,
4.70000000e+03,2.99399280e-17,
4.70200000e+03,2.35236187e-17,
4.70400000e+03,2.81991429e-17,
4.70600000e+03,2.15818734e-17,
4.70800000e+03,2.82182177e-17,
4.71000000e+03,2.45891100e-17,
4.71200000e+03,2.09612580e-17,
4.71400000e+03,3.10166855e-17,
4.71600000e+03,3.68445435e-17,
4.71800000e+03,2.89532405e-17,
4.72000000e+03,2.32248162e-17,
4.72200000e+03,2.09114733e-17,
4.72400000e+03,3.73712591e-17,
4.72600000e+03,2.88871819e-17,
4.72800000e+03,2.90073910e-17,
4.73000000e+03,2.71640985e-17,
4.73200000e+03,2.47395295e-17,
4.73400000e+03,2.49267552e-17,
4.73600000e+03,2.38022975e-17,
4.73800000e+03,2.33616865e-17,
4.74000000e+03,3.07744838e-17,
4.74200000e+03,2.81379812e-17,
4.74400000e+03,3.09463785e-17,
4.74600000e+03,2.93678267e-17,
4.74800000e+03,3.14817860e-17,
4.75000000e+03,4.14131282e-17,
4.75200000e+03,3.38665841e-17,
4.75400000e+03,3.40635987e-17,
4.75600000e+03,2.46181540e-17,
4.75800000e+03,3.29875062e-17,
4.76000000e+03,2.77970935e-17,
4.76200000e+03,2.41172515e-17,
4.76400000e+03,3.15117730e-17,
4.76600000e+03,3.57857325e-17,
4.76800000e+03,4.19266519e-17,
4.77000000e+03,2.60250062e-17,
4.77200000e+03,3.87703060e-17,
4.77400000e+03,2.32872121e-17,
4.77600000e+03,4.04567519e-17,
4.77800000e+03,3.43501804e-17,
4.78000000e+03,3.63046229e-17,
4.78200000e+03,2.78838085e-17,
4.78400000e+03,2.82952845e-17,
4.78600000e+03,2.59807984e-17,
4.78800000e+03,4.30860216e-17,
4.79000000e+03,3.58011512e-17,
4.79200000e+03,3.09066738e-17,
4.79400000e+03,2.84512544e-17,
4.79600000e+03,3.51732979e-17,
4.79800000e+03,3.10290469e-17,
4.80000000e+03,3.23089865e-17,
4.80200000e+03,3.07536917e-17,
4.80400000e+03,3.13855949e-17,
4.80600000e+03,2.81523311e-17,
4.80800000e+03,4.11787615e-17,
