wavelength_A,flux,flux_err
4.15452215e+03,-1.22313915e-17,
4.15566838e+03,5.83325700e-18,
4.15681460e+03,5.29704594e-17,
4.15796082e+03,9.67686504e-18,
4.15910704e+03,2.69173323e-17,
4.16025326e+03,3.24266811e-17,
4.16139948e+03,-1.15372662e-17,
4.16254570e+03,5.07647723e-17,
4.16369192e+03,3.29987956e-17,
4.16483814e+03,5.37247439e-18,
4.16598436e+03,2.61212868e-17,
4.16713058e+03,5.38079599e-17,
4.16827680e+03,1.37223746e-17,
4.16942302e+03,-1.86240327e-17,
4.17056924e+03,-3.59176670e-18,
4.17171546e+03,2.62274471e-17,
4.17286168e+03,7.58506755e-17,
4.17400790e+03,1.63351909e-17,
4.17515412e+03,5.88968743e-17,
4.17630035e+03,1.42688937e-17,
4.17744657e+03,-2.72385406e-18,
4.17859279e+03,1.95789846e-17,
4.17973901e+03,6.81021469e-19,
4.18088523e+03,-7.59239719e-18,
4.18203145e+03,2.86268350e-17,
4.18317767e+03,1.91095811e-17,
4.18432389e+03,4.01324748e-18,
4.18547011e+03,1.35557060e-17,
4.18661633e+03,3.86457293e-18,
4.18776255e+03,8.02541466e-18,
4.18890877e+03,3.26047466e-17,
4.19005499e+03,8.52645699e-18,
4.19120121e+03,1.30950061e-17,
4.19234743e+03,1.71617461e-17,
4.19349365e+03,6.52203168e-19,
4.19463987e+03,1.22984519e-17,
4.19578609e+03,4.58332704e-17,
4.19693232e+03,8.12495510e-18,
4.19807854e+03,3.01963904e-17,
4.19922476e+03,1.54411410e-17,
4.20037098e+03,1.71295887e-17,
4.20151720e+03,7.72325700e-17,
4.20266342e+03,1.39860906e-17,
4.20380964e+03,1.18164041e-17,
4.20495586e+03,3.11303302e-17,
4.20610208e+03,1.84221208e-18,
4.20724830e+03,1.17293621e-18,
4.20839452e+03,-7.60824184e-18,
4.20954074e+03,2.00719958e-17,
4.21068696e+03,7.07564936e-17,
4.21183318e+03,4.99146722e-17,
4.21297940e+03,1.52688045e-17,
4.21412562e+03,4.37104900e-17,
4.21527184e+03,7.89351575e-18,
4.21641807e+03,7.96592714e-19,
4.21756429e+03,-2.85057854e-18,
4.21871051e+03,4.07491570e-17,
4.21985673e+03,2.39225762e-17,
4.22100295e+03,2.15260735e-17,
4.22214917e+03,3.74479015e-18,
4.22329539e+03,9.98271011e-18,
4.22444161e+03,8.25726561e-17,
4.22558783e+03,6.87202859e-17,
4.22673405e+03,5.44424388e-18,
4.22788027e+03,4.08147061e-17,
4.22902649e+03,4.93728954e-17,
4.23017271e+03,1.88754509e-17,
4.23131893e+03,2.23485160e-17,
4.23246515e+03,6.04282114e-18,
4.23361137e+03,2.64401037e-17,
4.23475759e+03,2.71375708e-17,
4.23590381e+03,4.78595684e-17,
4.23705004e+03,2.73187912e-17,
4.23819626e+03,2.94432457e-17,
4.23934248e+03,2.27028322e-17,
4.24048870e+03,2.44921744e-17,
4.24163492e+03,5.11996774e-17,
4.24278114e+03,3.16128048e-17,
4.24392736e+03,-9.69487690e-18,
4.24507358e+03,2.60690073e-17,
4.24621980e+03,1.47794560e-17,
4.24736602e+03,-5.69017006e-18,
4.24851224e+03,-9.39336047e-18,
4.24965846e+03,2.23863264e-17,
4.25080468e+03,6.06398332e-18,
4.25195090e+03,8.62755531e-19,
4.25309712e+03,6.80458211e-18,
4.25424334e+03,-1.15837921e-19,
4.25538956e+03,-1.38347091e-17,
4.25653578e+03,-3.48821527e-18,
4.25768201e+03,1.82471245e-17,
4.25882823e+03,2.73401771e-17,
4.25997445e+03,5.58659323e-17,
4.26112067e+03,1.42259365e-17,
4.26226689e+03,-7.50082334e-18,
4.26341311e+03,2.58323724e-17,
4.26455933e+03,6.84463436e-17,
4.26570555e+03,6.47192927e-17,
4.26685177e+03,3.42843335e-17,
4.26799799e+03,2.80951299e-17,
4.26914421e+03,2.22391147e-17,
4.27029043e+03,3.70271453e-17,
4.27143665e+03,2.03554441e-17,
4.27258287e+03,-1.79932277e-18,
4.27372909e+03,1.18175994e-17,
4.27487531e+03,6.40005067e-18,
4.27602153e+03,3.55180899e-17,
4.27716775e+03,7.47237742e-18,
4.27831398e+03,1.91849488e-17,
4.27946020e+03,4.00583421e-17,
4.28060642e+03,2.74820104e-17,
